gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,cusip,curcdq,datacqtr,datafqtr,atq,cheq,ltq,costat
001004,2004-08-31,2004,1,INDL,C,D,STD,000361105,USD,2004Q3,2004Q1,699.3040,26.8020,396.1020,A
001004,2004-11-30,2004,2,INDL,C,D,STD,000361105,USD,2004Q4,2004Q2,710.9270,19.6670,399.7980,A
001004,2005-02-28,2004,3,INDL,C,D,STD,000361105,USD,2005Q1,2004Q3,707.4670,32.0910,391.1010,A
001004,2005-05-31,2004,4,INDL,C,D,STD,000361105,USD,2005Q2,2004Q4,732.2300,50.3380,417.4860,A
001004,2005-08-31,2005,1,INDL,C,D,STD,000361105,USD,2005Q3,2005Q1,757.8260,24.4110,437.9240,A
001004,2005-11-30,2005,2,INDL,C,D,STD,000361105,USD,2005Q4,2005Q2,798.7810,23.0810,470.4470,A
001004,2006-02-28,2005,3,INDL,C,D,STD,000361105,USD,2006Q1,2005Q3,938.1510,104.8130,544.9520,A
001004,2006-05-31,2005,4,INDL,C,D,STD,000361105,USD,2006Q2,2005Q4,978.8190,121.7380,556.1020,A
001004,2006-08-31,2006,1,INDL,C,D,STD,000361105,USD,2006Q3,2006Q1,978.8030,119.1310,544.2410,A
001004,2006-11-30,2006,2,INDL,C,D,STD,000361105,USD,2006Q4,2006Q2,1001.0310,117.1920,549.7800,A
001004,2007-02-28,2006,3,INDL,C,D,STD,000361105,USD,2007Q1,2006Q3,1010.8490,105.1110,541.1480,A
001004,2007-05-31,2006,4,INDL,C,D,STD,000361105,USD,2007Q2,2006Q4,1067.6330,83.3170,573.3900,A
001004,2007-08-31,2007,1,INDL,C,D,STD,000361105,USD,2007Q3,2007Q1,1076.9760,58.0210,567.5960,A
001004,2007-11-30,2007,2,INDL,C,D,STD,000361105,USD,2007Q4,2007Q2,1137.2900,28.3690,606.9630,A
001004,2008-02-29,2007,3,INDL,C,D,STD,000361105,USD,2008Q1,2007Q3,1333.4540,119.1570,768.9580,A
001004,2008-05-31,2007,4,INDL,C,D,STD,000361105,USD,2008Q2,2007Q4,1362.0100,112.4350,776.7550,A
001004,2008-08-31,2008,1,INDL,C,D,STD,000361105,USD,2008Q3,2008Q1,1350.7620,75.9880,747.8190,A
